Firmware Version,Version 2.3 (13),System S/N,200-10008,Associated XDR,12398-1004,,Gain Pot Settings:,A:,7,B:,6,C:,5,D:,5,,,,,,,,,,,,,,,,,,
Date,Time,Log Type,Unit State,Electrical Energy (J),Time Setting (s),Electrical Power (W),Sonication Mode,Error/Reason,Chan A FWD,Chan A REV,Chan B FWD,Chan B REV,Chan C FWD,Chan C REV,Chan D FWD,Chan D REV,LCD Working?,Panic SW Open?,Unit Temperature (C),Cal Factor (A),Cal Factor (B),Cal Factor (C),Cal Factor (D),Delivered Acoustic Energy (J),,Base Ticks (A),Adj Ticks (A),Base Ticks (B),Adj Ticks (B),Base Ticks (C),Adj Ticks (C),Base Ticks (D),Adj Ticks (D)
8/20/2021,14:21:57,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.85,0.08,6.69,0.11,6.28,0.11,6.49,0.12,TRUE,TRUE,27,56.2,56.2,56.2,56.2,86.64,,1421,25,1352,32,1299,79,1343,10
8/20/2021,14:21:57,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.95,0.09,6.68,0.11,6.28,0.1,6.64,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,88.13,,1421,24,1352,32,1299,80,1343,10
8/20/2021,14:21:57,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.81,0.09,6.69,0.11,6.22,0.09,6.41,0.1,TRUE,TRUE,27,56.2,56.2,56.2,56.2,89.59,,1421,24,1352,32,1299,81,1343,11
8/20/2021,14:21:58,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.76,0.07,6.84,0.1,6.24,0.1,6.52,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,91.07,,1421,24,1352,32,1299,82,1343,11
8/20/2021,14:21:58,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.95,0.08,6.91,0.11,6.29,0.11,6.58,0.12,TRUE,TRUE,27,56.2,56.2,56.2,56.2,92.57,,1421,23,1352,32,1299,83,1343,11
8/20/2021,14:21:58,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.96,0.09,6.81,0.11,6.38,0.1,6.54,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,94.07,,1421,22,1352,32,1299,84,1343,11
8/20/2021,14:21:58,Sonication,ACTIVE,533,20,26.65,Incoherent,,7.2,0.08,6.71,0.1,6.37,0.09,6.41,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,95.57,,1421,21,1352,32,1299,85,1343,12
8/20/2021,14:21:58,Sonication,ACTIVE,533,20,26.65,Incoherent,,7.12,0.08,6.71,0.11,6.35,0.1,6.54,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,97.07,,1421,20,1352,32,1299,86,1343,12
8/20/2021,14:21:58,Sonication,ACTIVE,533,20,26.65,Incoherent,,7.01,0.09,6.67,0.12,6.14,0.1,6.42,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,98.54,,1421,19,1352,32,1299,87,1343,12
8/20/2021,14:21:58,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.74,0.08,6.69,0.1,6.15,0.09,6.53,0.1,TRUE,TRUE,27,56.2,56.2,56.2,56.2,100,,1421,19,1352,32,1299,88,1343,12
8/20/2021,14:21:58,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.82,0.08,6.81,0.1,6.32,0.1,6.57,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,101.49,,1421,19,1352,32,1299,89,1343,12
